time,Gyroscope[x] Deg/sec,Gyroscope[y] Deg/sec,Gyroscope[z] Deg/sec,,,,time,Gravity[x] m/sec^2,Gravity[y] m/sec^2,Gravity[z] m/sec^2,,,,time,Acceleration[x] cm/sec^2,Acceleration[y] cm/sec^2,Acceleration[z] cm/sec^2,,,,time,Orientation[x] Deg,Orientation[y] Deg,Orientation[z] Deg,,,,
15:18:17.669+0300,-3.4299998,-25.445002,1.26,,,,15:18:17.671+0300,-0.010239947,9.715755,1.3320588,,,,15:18:17.672+0300,7.0,-1.0,-4.0,,,,15:18:17.672+0300,277.80695,-0.060387023,115.58639,,,,
15:18:17.689+0300,-3.4299998,-25.445002,1.26,,,,15:18:17.691+0300,-0.010239947,9.715755,1.3320588,,,,15:18:17.692+0300,7.0,-1.0,-4.0,,,,15:18:17.693+0300,277.80695,-0.060387023,115.58639,,,,
15:18:17.709+0300,0.9099999,-16.345,-0.7,,,,15:18:17.711+0300,0.009067396,9.712596,1.35492,,,,15:18:17.712+0300,-1.0,-1.0,6.0,,,,15:18:17.714+0300,277.9417,0.05348965,116.06628,,,,
15:18:17.731+0300,0.9099999,-16.345,-0.7,,,,15:18:17.732+0300,0.009067396,9.712596,1.35492,,,,15:18:17.733+0300,-1.0,-1.0,5.0,,,,15:18:17.735+0300,277.9417,0.05348965,116.06628,,,,
15:18:17.749+0300,0.38499996,8.82,-1.015,,,,15:18:17.751+0300,0.0100350715,9.713139,1.3510154,,,,15:18:17.753+0300,3.0,-1.0,10.0,,,,15:18:17.758+0300,277.91473,2.4825163E-4,116.08054,,,,
15:18:17.769+0300,-0.42000002,9.94,-0.035,,,,15:18:17.770+0300,-0.011593699,9.713432,1.3488941,,,,15:18:17.771+0300,5.0,-1.0,-7.0,,,,15:18:17.771+0300,277.90625,-0.06838672,115.76472,,,,
15:18:17.789+0300,-1.085,-12.67,0.7699999,,,,15:18:17.790+0300,-0.012177053,9.713187,1.3506378,,,,15:18:17.791+0300,2.0,-1.0,-3.0,,,,15:18:17.792+0300,277.91666,-0.07182949,115.688354,,,,
15:18:17.809+0300,-0.21000001,-19.425,1.015,,,,15:18:17.811+0300,-0.007413199,9.712948,1.3524048,,,,15:18:17.812+0300,0.0,0.0,1.0,,,,15:18:17.813+0300,277.92905,-0.0046307435,115.92357,,,,
15:18:17.829+0300,-0.7699999,-14.139999,0.595,,,,15:18:17.831+0300,0.010442192,9.712693,1.3542033,,,,15:18:17.832+0300,-3.0,-1.0,8.0,,,,15:18:17.832+0300,277.93762,0.06159911,116.18342,,,,
15:18:17.849+0300,-0.525,14.035001,-0.35,,,,15:18:17.850+0300,0.01141542,9.71226,1.3573025,,,,15:18:17.851+0300,-2.0,-1.0,-1.0,,,,15:18:17.852+0300,277.95587,0.067343235,116.16693,,,,
15:18:17.870+0300,0.14,13.895,-0.14,,,,15:18:17.871+0300,0.002262392,9.712099,1.358509,,,,15:18:17.872+0300,-1.0,0.0,-13.0,,,,15:18:17.873+0300,277.9627,0.013346808,115.90466,,,,
15:18:17.889+0300,-0.595,5.32,-0.105000004,,,,15:18:17.891+0300,-0.003073124,9.712178,1.3579285,,,,15:18:17.893+0300,-1.0,-1.0,-12.0,,,,15:18:17.896+0300,277.95935,-0.018129509,115.74758,,,,
15:18:17.913+0300,0.035,-15.225,-0.175,,,,15:18:17.915+0300,-6.225158E-5,9.712263,1.3573294,,,,15:18:17.917+0300,-1.0,-1.0,6.0,,,,15:18:17.918+0300,277.95578,-3.672422E-4,115.89533,,,,
15:18:17.931+0300,-0.48999998,-12.915,-0.595,,,,15:18:17.933+0300,0.0049093994,9.71226,1.357337,,,,15:18:17.934+0300,0.0,0.0,13.0,,,,15:18:17.935+0300,277.95587,0.02896214,116.139305,,,,
15:18:17.949+0300,-0.035,1.855,-0.595,,,,15:18:17.950+0300,0.0051835403,9.712312,1.3569722,,,,15:18:17.951+0300,1.0,-2.0,7.0,,,,15:18:17.952+0300,277.95374,0.030579224,116.196846,,,,
15:18:17.969+0300,0.63,14.315,-0.945,,,,15:18:17.970+0300,1.7184943E-4,9.712112,1.3584032,,,,15:18:17.971+0300,4.0,0.0,0.0,,,,15:18:17.972+0300,277.96213,0.0010138111,116.12193,,,,
15:18:17.989+0300,-0.24499999,9.1,-0.24499999,,,,15:18:17.990+0300,-0.0075043845,9.711982,1.3593255,,,,15:18:17.992+0300,5.0,-2.0,-9.0,,,,15:18:17.993+0300,277.96872,-0.051058613,115.81836,,,,
15:18:18.011+0300,-0.735,-6.51,0.35,,,,15:18:18.014+0300,-0.0035708442,9.711975,1.3593893,,,,15:18:18.015+0300,0.0,-1.0,-3.0,,,,15:18:18.016+0300,277.96793,-0.021066189,115.832275,,,,
15:18:18.030+0300,-0.7699999,-13.58,0.45499995,,,,15:18:18.031+0300,0.0014195114,9.711767,1.3608733,,,,15:18:18.032+0300,-4.0,0.0,8.0,,,,15:18:18.032+0300,277.98346,0.035719734,116.017525,,,,
15:18:18.049+0300,0.035,-4.62,0.07,,,,15:18:18.050+0300,0.009960253,9.711356,1.3637626,,,,15:18:18.052+0300,-2.0,-1.0,4.0,,,,15:18:18.053+0300,277.9986,0.06619499,116.13177,,,,
15:18:18.069+0300,-0.07,8.715,-0.28,,,,15:18:18.071+0300,0.007937515,9.711021,1.3661721,,,,15:18:18.073+0300,-2.0,-1.0,-8.0,,,,15:18:18.074+0300,278.00803,0.046831947,116.04191,,,,
15:18:18.089+0300,-0.7,10.570001,-0.24499999,,,,15:18:18.094+0300,9.130232E-4,9.710922,1.3668928,,,,15:18:18.096+0300,0.0,-2.0,-12.0,,,,15:18:18.097+0300,278.0122,0.005386963,115.87158,,,,
